"SYMBOL" "ENTREZID"
"SNORA59B" "677882"
"KLHDC9" "126823"
"POF1B" "79983"
"ITPKB" "3707"
"ZDHHC9" "51114"
"PPIE" "10450"
"TBC1D25" "4943"
"SLC2A7" "155184"
"MIR509-1" "574514"
"CDC7" "8317"
"SNHG3" "8420"
"OR10J1" "26476"
"LRRC71" "149499"
"LCE2D" "353141"
"FAM167B" "84734"
"OR6F1" "343169"
"OR6K6" "128371"
"SIPA1L2" "57568"
"DMRTB1" "63948"
"GPR3" "2827"
"ZSCAN20" "7579"
"MMEL1" "79258"
"MIR1182" "100302132"
"NKAPP1" "158801"
"PRDM16" "63976"
"TRO" "7216"
"MIR452" "574412"
"AWAT2" "158835"
"CADM3" "57863"
"CYP4B1" "1580"
"NEGR1" "257194"
"SMIM10L2A" "399668"
"KIF17" "57576"
"MIR448" "554212"
"MAGED4B" "81557"
"CYLC1" "1538"
"PFKFB1" "5207"
"PCNX2" "80003"
"INSRR" "3645"
"HAO2" "51179"
"SNORA14B" "677802"
"TESK2" "10420"
"PDIA3P1" "171423"
"PCYT1B" "9468"
"GREM2" "64388"
"DISC1" "27185"
"LINGO4" "339398"
"CPXCR1" "53336"
"FAM72A" "729533"
"NPHS2" "7827"
"ANOS1" "3730"
"TNNT2" "7139"
"MAGEA8" "4107"
"LINC01354" "100506795"
"GPR153" "387509"
"RHOXF1" "158800"
"IL1RAPL2" "26280"
"IRAK1" "3654"
"PAK3" "5063"
"GPR143" "4935"
"WAS" "7454"
"ZCCHC11" "23318"
"PIGA" "5277"
"RRP15" "51018"
"RAB4A" "5867"
"GAGE12J" "729396"
"DCST1-AS1" "100505666"
"SPANXN2" "494119"
"MIR1468" "100302115"
"FLJ44635" "392490"
"TLR7" "51284"
"LINC01140" "339524"
"AWAT1" "158833"
"ADGRL4" "64123"
"TTTY10" "246119"
"PPP1R2P9" "80316"
"GRIK3" "2899"
"ELAVL4" "1996"
"ACTRT1" "139741"
"CNGA2" "1260"
"LEPROT" "54741"
"ERRFI1" "54206"
"PAX7" "5081"
"VCX" "26609"
"PIM2" "11040"
"PLPP3" "8613"
"PEX10" "5192"
"PRKY" "5616"
"FCGR2A" "2212"
"LCE1F" "353137"
"GCSAML" "148823"
"ENO1" "2023"
"TRIM17" "51127"
"OFD1" "8481"
"SSX6" "280657"
"HYI" "81888"
"XAGE1B" "653220"
"RWDD3" "25950"
"EBP" "10682"
"GJA4" "2701"
"SCNN1D" "6339"
"LINC00632" "286411"
"SLC6A14" "11254"
"ETV3" "2117"
"GPC3" "2719"
"MIR3620" "100500810"
"CLDN34" "100288814"
"KANK4" "163782"
"CXorf36" "79742"
"ZBTB8A" "653121"
"MCOLN3" "55283"
"RBM41" "55285"
"CACNA1F" "778"
"LDOC1" "23641"
"FAM46B" "115572"
"GJB4" "127534"
"EPHA10" "284656"
"ARMCX1" "51309"
"SLC26A9" "115019"
"CT45A1" "541466"
"C1orf162" "128346"
"GON4L" "54856"
"TLR5" "7100"
"KIAA1210" "57481"
"MIR551A" "693135"
"INGX" "27160"
"MAGEB1" "4112"
"DPYD" "1806"
"ARSD" "414"
"POU3F4" "5456"
"FOXD2-AS1" "84793"
"CCDC30" "728621"
"ZMYM1" "79830"
"ZNF75D" "7626"
"ARHGEF10L" "55160"
"MAGEB10" "139422"
"ZNF691" "51058"
"PCP4L1" "654790"
"COX20" "116228"
"OR2T34" "127068"
"HDAC1" "3065"
"MIR29C" "407026"
"CPT2" "1376"
"STARD8" "9754"
"MIR5008" "100847072"
"MARCKSL1" "65108"
"PIGK" "10026"
"RTL3" "203430"
"RAB33A" "9363"
"FAM110D" "79927"
"KIF1B" "23095"
"DRAXIN" "374946"
"ACKR1" "2532"
"SPRR2E" "6704"
"BRINP3" "339479"
"MASP2" "10747"
"PADI2" "11240"
"SYT6" "148281"
"SPATA6" "54558"
"NUDT11" "55190"
"SAMD11" "148398"
"AGTR2" "186"
"LINC01278" "92249"
"C1orf53" "388722"
"FAM71A" "149647"
"OR14I1" "401994"
"CHIT1" "1118"
"GABRD" "2563"
"SELE" "6401"
"BCAN" "63827"
"MIR3658" "100500832"
"SHE" "126669"
"PIFO" "128344"
"MIR502" "574504"
"TBL1X" "6907"
"LOC389906" "389906"
"KIF26B" "55083"
"TCEAL1" "9338"
"AKR7A3" "22977"
"TCEANC" "170082"
"CCNB3" "85417"
"INTS6L" "203522"
"ZNF695" "57116"
"CHD1L" "9557"
"TMEM52" "339456"
"LINC01281" "286442"
"PNPLA4" "8228"
"PDPN" "10630"
"RLF" "6018"
"S100A7" "6278"
"DNAJA1P5" "94236"
"DLG3" "1741"
"RGS8" "85397"
"MAGEA6" "4105"
"SMPX" "23676"
"HSD52" "729467"
"MAGEA3" "4102"
"DCAF8L1" "139425"
"CDA" "978"
"OR6N1" "128372"
"GPR25" "2848"
"ZNF362" "149076"
"DNM3" "26052"
"GAGE1" "2543"
"ROR1" "4919"
"CNST" "163882"
"AMMECR1" "9949"
"PLA2G2F" "64600"
